rf,partitions,acks,run,records_per_sec,mb_per_sec,avg_latency_ms,max_latency_ms
1,1,1,1,8498.2,82.99,219.4,617.0
1,1,1,2,8556.4,83.56,217.9,567.0
1,1,1,3,10142.8,99.05,184.3,289.0
1,1,all,1,9573.0,93.49,195.7,499.0
1,1,all,2,7031.0,68.66,265.0,667.0
1,1,all,3,10086.0,98.50,185.4,290.0
1,4,1,1,10476.4,102.31,178.0,292.0
1,4,1,2,10470.8,102.25,177.9,293.0
1,4,1,3,10489.8,102.44,177.8,288.0
1,4,all,1,10445.0,102.00,178.2,292.0
1,4,all,2,10449.6,102.05,178.5,288.0
1,4,all,3,10473.4,102.28,178.6,289.0
1,8,1,1,10617.0,103.68,174.9,300.0
1,8,1,2,10608.2,103.60,175.8,293.0
1,8,1,3,10615.6,103.67,175.4,291.0
1,8,all,1,10597.8,103.49,175.6,296.0
1,8,all,2,10584.8,103.37,175.6,297.0
1,8,all,3,10585.4,103.37,175.7,294.0
3,1,1,1,6081.6,59.39,303.1,355.0
3,1,1,2,9224.8,90.09,202.3,286.0
3,1,1,3,9237.2,90.21,201.9,290.0
3,1,all,1,1348.2,13.17,1227.3,1593.0
3,1,all,2,1658.8,16.20,1009.2,1200.0
3,1,all,3,1304.2,12.74,1255.9,1663.0
3,4,1,1,10440.6,101.96,178.5,293.0
3,4,1,2,10447.8,102.03,178.4,292.0
3,4,1,3,10464.4,102.19,178.2,291.0
3,4,all,1,4819.4,47.06,378.6,499.0
3,4,all,2,4821.4,47.08,378.8,523.0
3,4,all,3,4907.4,47.92,371.8,529.0
3,8,1,1,10557.0,103.10,176.3,298.0
3,8,1,2,10624.2,103.75,175.4,288.0
3,8,1,3,10607.6,103.59,175.7,296.0
3,8,all,1,6403.4,62.53,287.6,338.0
3,8,all,2,6322.0,61.74,291.6,348.0
3,8,all,3,6130.8,59.87,299.7,354.0
