num_brokers,replication_factor,test_type,partitions,message_size_bytes,producer_acks,consumer_groups,records_per_sec,mb_per_sec,avg_latency_ms,max_latency_ms
3,1,producer,1,100,1,N/A,146198.830409,13.94,135.02,323.00
3,1,producer,1,100,all,N/A,104493.207941,9.97,408.55,522.00
3,1,producer,1,1024,1,N/A,69735.006974,68.10,268.16,353.00
3,1,producer,1,1024,all,N/A,75987.841945,74.21,225.21,297.00
3,1,producer,1,10240,1,N/A,8520.6,83.21,218.7,286.0
3,1,producer,1,10240,all,N/A,8453.2,82.55,220.3,289.0
3,1,producer,4,100,1,N/A,215982.721382,20.60,7.34,290.00
3,1,producer,4,100,all,N/A,205338.809035,19.58,2.60,296.00
3,1,producer,4,1024,1,N/A,81833.060556,79.92,192.34,292.00
3,1,producer,4,1024,all,N/A,75471.698113,73.70,245.79,416.00
3,1,producer,4,10240,1,N/A,10466.6,102.21,178.0,294.0
3,1,producer,4,10240,all,N/A,10434.8,101.90,178.3,293.0
3,1,producer,8,100,1,N/A,216450.216450,20.64,1.83,293.00
3,1,producer,8,100,all,N/A,213675.213675,20.38,1.96,289.00
3,1,producer,8,1024,1,N/A,83752.093802,81.79,166.83,310.00
3,1,producer,8,1024,all,N/A,83402.835696,81.45,174.33,314.00
3,1,producer,8,10240,1,N/A,10583.6,103.36,175.7,300.0
3,1,producer,8,10240,all,N/A,10588.0,103.40,176.1,290.0
3,1,consumer,1,100,N/A,1,26852.8464,2.5609,N/A,N/A
3,1,consumer,1,1024,N/A,1,22266.7557,21.7449,N/A,N/A
3,1,consumer,1,10240,N/A,1,7704.1602,75.2359,N/A,N/A
3,1,consumer,4,100,N/A,1,28901.7341,2.7563,N/A,N/A
3,1,consumer,4,1024,N/A,1,23573.7860,23.0213,N/A,N/A
3,1,consumer,4,10240,N/A,1,8116.2243,79.2600,N/A,N/A
3,1,consumer,8,100,N/A,1,28885.0376,2.7547,N/A,N/A
3,1,consumer,8,1024,N/A,1,23584.9057,23.0321,N/A,N/A
3,1,consumer,8,10240,N/A,1,8174.6097,79.8302,N/A,N/A
3,1,e2e-producer,1,100,1,1,210970.464135,20.12,14.02,286.00
3,1,e2e-consumer,1,100,N/A,1,18416.2063,1.7563,N/A,N/A
3,1,e2e-producer,1,1024,1,1,76394.194041,74.60,232.48,290.00
3,1,e2e-consumer,1,1024,N/A,1,15810.2767,15.4397,N/A,N/A
3,1,e2e-producer,1,10240,1,1,9235.4,90.19,202.2,285.0
3,1,e2e-consumer,1,10240,N/A,1,6536.3749,63.8318,N/A,N/A
3,1,e2e-producer,4,100,1,1,222222.222222,21.19,2.89,286.00
3,1,e2e-consumer,4,100,N/A,1,18497.9652,1.7641,N/A,N/A
3,1,e2e-producer,4,1024,1,1,80645.161290,78.76,200.37,395.00
3,1,e2e-consumer,4,1024,N/A,1,16092.6939,15.7155,N/A,N/A
3,1,e2e-producer,4,10240,1,1,10161.8,99.24,183.7,287.0
3,1,e2e-consumer,4,10240,N/A,1,6930.4872,67.6805,N/A,N/A
3,1,e2e-producer,8,100,1,1,222222.222222,21.19,2.82,288.00
3,1,e2e-consumer,8,100,N/A,1,18456.9952,1.7602,N/A,N/A
3,1,e2e-producer,8,1024,1,1,82576.383154,80.64,182.10,381.00
3,1,e2e-consumer,8,1024,N/A,1,15748.0315,15.3789,N/A,N/A
3,1,e2e-producer,8,10240,1,1,10411.8,101.68,179.1,406.0
3,1,e2e-consumer,8,10240,N/A,1,6778.2824,66.1942,N/A,N/A
3,2,producer,1,100,1,N/A,209643.605870,19.99,15.03,287.00
3,2,producer,1,100,all,N/A,117785.630153,11.23,168.84,328.00
3,2,producer,1,1024,1,N/A,77942.322681,76.12,222.69,285.00
3,2,producer,1,1024,all,N/A,21249.468763,20.75,1138.69,1498.00
3,2,producer,1,10240,1,N/A,9240.6,90.24,201.8,291.0
3,2,producer,1,10240,all,N/A,1822.8,17.80,943.7,1208.0
3,2,producer,4,100,1,N/A,224719.101124,21.43,2.21,282.00
3,2,producer,4,100,all,N/A,203252.032520,19.38,6.52,291.00
3,2,producer,4,1024,1,N/A,82372.322900,80.44,190.88,416.00
3,2,producer,4,1024,all,N/A,62853.551226,61.38,279.40,439.00
3,2,producer,4,10240,1,N/A,10460.8,102.16,178.2,290.0
3,2,producer,4,10240,all,N/A,6775.6,66.17,272.9,347.0
3,2,producer,8,100,1,N/A,218818.380744,20.87,2.25,291.00
3,2,producer,8,100,all,N/A,207900.207900,19.83,5.57,285.00
3,2,producer,8,1024,1,N/A,84245.998315,82.27,176.90,314.00
3,2,producer,8,1024,all,N/A,80645.161290,78.76,186.22,306.00
3,2,producer,8,10240,1,N/A,10623.0,103.74,175.7,287.0
3,2,producer,8,10240,all,N/A,8841.2,86.34,210.2,293.0
3,2,consumer,1,100,N/A,1,28604.1190,2.7279,N/A,N/A
3,2,consumer,1,1024,N/A,1,22841.4801,22.3061,N/A,N/A
3,2,consumer,1,10240,N/A,1,7846.8299,76.6292,N/A,N/A
3,2,consumer,4,100,N/A,1,28835.0634,2.7499,N/A,N/A
3,2,consumer,4,1024,N/A,1,23573.7860,23.0213,N/A,N/A
